path,symbols,classification,mechanisms,reason
src/ad/fortnum_build_selection.f90,fortnum_selected_dawson_outer_jvp,fortsym-generated,analytical,build-selected adapter around a generated fused product
src/fft/fortnum_fft.f90,fft_c2c_jvp;fft_c2c_vjp;fft_r2c_jvp;fft_r2c_vjp,hand-written algorithmic,analytical,FFT and its adjoint are applied as linear operators
src/generated/fortnum_bessel_outer_jvp_kernel.f90,fortnum_bessel_outer_jvp_kernel,fortsym-generated,analytical,generated contracted outer JVP around stable Bessel values and recurrences
src/generated/fortnum_dawson_identity_jvp_kernel.f90,fortnum_dawson_identity_jvp_kernel,fortsym-generated,analytical,pure-elemental generated contracted identity product for scalar and array calls
src/generated/fortnum_dawson_outer_jvp_kernel.f90,fortnum_dawson_outer_jvp_kernel,fortsym-generated,analytical,generated contracted outer JVP
src/generated/fortnum_dawson_outer_kernel.f90,fortnum_dawson_outer_kernel,fortsym-generated,analytical,generated fused value and JVP
src/generated/fortnum_dawson_outer_value_vjp_kernel.f90,fortnum_dawson_outer_value_vjp_kernel,fortsym-generated,analytical,generated fused value and VJP
src/generated/fortnum_dawson_outer_vjp_kernel.f90,fortnum_dawson_outer_vjp_kernel,fortsym-generated,analytical,generated contracted outer VJP
src/generated/fortnum_det2_jvp_kernel.f90,fortnum_det2_jvp_kernel,fortsym-generated,analytical,generated contracted determinant JVP
src/generated/fortnum_det2_vjp_kernel.f90,fortnum_det2_vjp_kernel,fortsym-generated,analytical,generated contracted determinant VJP
src/generated/fortnum_det3_jvp_kernel.f90,fortnum_det3_jvp_kernel,fortsym-generated,analytical,generated contracted determinant JVP
src/generated/fortnum_det3_vjp_kernel.f90,fortnum_det3_vjp_kernel,fortsym-generated,analytical,generated contracted determinant VJP
src/generated/fortnum_implicit_root_residual_kernel.f90,fortnum_implicit_root_residual_kernel,fortsym-generated,analytical,generated fused residual and local tangent products
src/generated/fortnum_scalar_root_residual_jvp_kernel.f90,fortnum_scalar_root_residual_jvp_kernel,fortsym-generated,analytical,generated contracted scalar-residual local JVP
src/generated/fortnum_scalar_root_residual_vjp_kernel.f90,fortnum_scalar_root_residual_vjp_kernel,fortsym-generated,analytical,generated contracted scalar-residual local VJP
src/generated/fortnum_sqrt1pm1_raw_kernel.f90,fortnum_sqrt1pm1_raw_kernel,fortsym-generated,analytical,generated direct square-root-difference candidate
src/generated/fortnum_sqrt1pm1_stable_kernel.f90,fortnum_sqrt1pm1_stable_kernel,fortsym-generated,analytical,generated rationalized square-root-difference candidate
src/generated/fortnum_vector_root_residual_jacobian_kernel.f90,fortnum_vector_root_residual_jacobian_kernel,fortsym-generated,analytical,generated explicit vector-residual state Jacobian
src/generated/fortnum_vector_root_residual_jvp_kernel.f90,fortnum_vector_root_residual_jvp_kernel,fortsym-generated,analytical,generated vector-residual state Jacobian and contracted parameter JVP
src/generated/fortnum_vector_root_residual_vjp_kernel.f90,fortnum_vector_root_residual_vjp_kernel,fortsym-generated,analytical,generated contracted vector-residual parameter VJP
src/generated/fortnum_inv2_jvp_kernel.f90,fortnum_inv2_jvp_kernel,fortsym-generated,analytical,generated contracted inverse JVP
src/generated/fortnum_inv2_vjp_kernel.f90,fortnum_inv2_vjp_kernel,fortsym-generated,analytical,generated contracted inverse VJP
src/generated/fortnum_inv3_jvp_kernel.f90,fortnum_inv3_jvp_kernel,fortsym-generated,analytical,generated contracted inverse JVP
src/generated/fortnum_inv3_vjp_kernel.f90,fortnum_inv3_vjp_kernel,fortsym-generated,analytical,generated contracted inverse VJP
src/generated/fortnum_lagrange4_jvp_kernel.f90,fortnum_lagrange4_jvp_kernel,fortsym-generated,analytical,generated fixed-cell contracted JVP
src/generated/fortnum_lagrange4_vjp_kernel.f90,fortnum_lagrange4_vjp_kernel,fortsym-generated,analytical,generated fixed-cell contracted VJP
src/generated/fortnum_multi_input_p2_jvp_kernel.f90,fortnum_multi_input_p2_jvp_kernel,fortsym-generated,analytical,generated scaling-study JVP
src/generated/fortnum_multi_input_p2_vjp_kernel.f90,fortnum_multi_input_p2_vjp_kernel,fortsym-generated,analytical,generated scaling-study VJP
src/generated/fortnum_multi_input_p4_jvp_kernel.f90,fortnum_multi_input_p4_jvp_kernel,fortsym-generated,analytical,generated scaling-study JVP
